Показатель	Страна	Год	Краткий обзор стран
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2019	14207
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2020	13346
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2021	14704
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Армения	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1995	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1996	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1997	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1998	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	1999	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2000	5816
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2001	6268
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2002	6731
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2003	7399
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2004	8522
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2005	9671
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2006	11019
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2007	12338
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2008	13901
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2009	14049
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2010	15348
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2011	16518
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2012	18021
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2013	18886
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2014	18904
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2015	18049
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2016	17766
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2017	18338
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2018	19401
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2019	20063
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2020	20202
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2021	22032
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Беларусь	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1991	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1992	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1993	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1994	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1995	22435
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1996	22738
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1997	23734
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1998	24370
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	1999	25441
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2000	27785
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2001	28788
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2002	30282
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2003	30933
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2004	32063
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2005	33178
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2006	35259
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2007	36791
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2008	37883
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2009	37749
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2010	39840
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2011	40942
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2012	42291
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2013	43671
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2014	44930
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2015	46201
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2016	48598
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2017	50442
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2018	52530
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2019	54328
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2020	53562
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2021	59025
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2022	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Бельгия	2023	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1990	..
ВВП на душу населения в ценах и ППС (США) текущего года, долл. США	Болгария	1991	..
